Frame,Dev_mm_raw,Dev_mm_smooth
1,-0.588,
2,-0.588,
3,-0.588,
4,-0.588,-0.588
5,-0.588,-0.588
6,-0.588,-0.581
7,-0.588,-0.581
8,-0.588,-0.539
9,-0.539,-0.462
10,-0.588,-0.385
11,-0.294,-0.308
12,-0.049,-0.224
13,-0.049,-0.147
14,-0.049,-0.063
15,0.000,-0.021
16,0.000,-0.014
17,0.000,-0.007
18,0.000,0.000
19,0.000,0.000
20,0.000,0.000
21,0.000,0.000
22,0.000,0.000
23,0.000,0.000
24,0.000,0.000
25,0.000,0.000
26,0.000,0.000
27,0.000,0.000
28,0.000,0.000
29,0.000,0.000
30,0.000,0.000
31,0.000,0.000
32,0.000,0.000
33,0.000,0.000
34,0.000,0.000
35,0.000,0.000
36,0.000,0.000
37,0.000,0.000
38,0.000,0.000
39,0.000,0.000
40,0.000,0.000
41,0.000,0.000
42,0.000,0.000
43,0.000,0.000
44,0.000,0.000
45,0.000,0.000
46,0.000,0.000
47,0.000,0.000
48,0.000,0.000
49,0.000,0.000
50,0.000,0.000
51,0.000,0.000
52,0.000,0.000
53,0.000,0.000
54,0.000,0.000
55,0.000,0.000
56,0.000,0.000
57,0.000,0.000
58,0.000,0.000
59,0.000,0.000
60,0.000,0.000
61,0.000,0.000
62,0.000,0.000
63,0.000,0.000
64,0.000,0.000
65,0.000,0.000
66,0.000,0.000
67,0.000,0.000
68,0.000,0.000
69,0.000,0.000
70,0.000,0.000
71,0.000,0.000
72,0.000,0.000
73,0.000,0.000
74,0.000,0.000
75,0.000,0.000
76,0.000,0.000
77,0.000,0.000
78,0.000,0.007
79,0.000,0.007
80,0.000,0.007
81,0.049,0.007
82,0.000,0.007
83,0.000,0.007
84,0.000,-0.042
85,0.000,-0.266
86,0.000,-0.792
87,-0.343,-1.492
88,-1.520,-2.277
89,-3.678,-3.083
90,-4.904,-3.888
91,-5.492,-4.645
92,-5.640,-5.233
93,-5.640,-5.513
94,-5.640,-5.619
95,-5.640,-5.640
96,-5.640,-5.640
97,-5.640,-5.640
98,-5.640,-5.640
99,-5.640,-5.640
100,-5.640,-5.640
101,-5.640,-5.640
102,-5.640,-5.640
103,-5.640,-5.640
104,-5.640,-5.640
105,-5.640,-5.640
106,-5.640,-5.640
107,-5.640,-5.640
108,-5.640,-5.640
109,-5.640,-5.640
110,-5.640,-5.640
111,-5.640,-5.640
112,-5.640,-5.640
113,-5.640,-5.640
114,-5.640,-5.640
115,-5.640,-5.640
116,-5.640,-5.640
117,-5.640,-5.640
118,-5.640,-5.640
119,-5.640,-5.640
120,-5.640,-5.640
121,-5.640,-5.640
122,-5.640,-5.640
123,-5.640,-5.640
124,-5.640,-5.640
125,-5.640,-5.640
126,-5.640,-5.640
127,-5.640,-5.640
128,-5.640,-5.640
129,-5.640,-5.640
130,-5.640,-5.640
131,-5.640,-5.640
132,-5.640,-5.640
133,-5.640,-5.640
134,-5.640,-5.640
135,-5.640,-5.640
136,-5.640,-5.640
137,-5.640,-5.640
138,-5.640,-5.640
139,-5.640,-5.640
140,-5.640,-5.640
141,-5.640,-5.640
142,-5.640,-5.640
143,-5.640,-5.640
144,-5.640,-5.640
145,-5.640,-5.640
146,-5.640,-5.640
147,-5.640,-5.640
148,-5.640,-5.640
149,-5.640,-5.640
150,-5.640,-5.640
151,-5.640,-5.640
152,-5.640,-5.640
153,-5.640,-5.640
154,-5.640,-5.640
155,-5.640,-5.640
156,-5.640,-5.640
157,-5.640,-5.640
158,-5.640,-5.640
159,-5.640,-5.640
160,-5.640,-5.640
161,-5.640,-5.640
162,-5.640,-5.640
163,-5.640,-5.640
164,-5.640,-5.640
165,-5.640,-5.640
166,-5.640,-5.640
167,-5.640,-5.640
168,-5.640,-5.640
169,-5.640,-5.640
170,-5.640,-5.640
171,-5.640,-5.640
172,-5.640,-5.640
173,-5.640,-5.640
174,-5.640,-5.640
175,-5.640,-5.640
176,-5.640,-5.752
177,-5.640,-6.081
178,-5.640,-6.641
179,-6.424,-7.342
180,-7.944,-8.120
181,-9.563,-8.904
182,-10.544,-9.689
183,-11.083,-10.361
184,-11.132,-10.817
185,-11.132,-11.041
186,-11.132,-11.125
187,-11.132,-11.132
188,-11.132,-11.132
189,-11.132,-11.132
190,-11.132,-11.132
191,-11.132,-11.132
192,-11.132,-11.132
193,-11.132,-11.132
194,-11.132,-11.132
195,-11.132,-11.132
196,-11.132,-11.132
197,-11.132,-11.132
198,-11.132,-11.132
199,-11.132,-11.132
200,-11.132,-11.132
201,-11.132,-11.132
202,-11.132,-11.132
203,-11.132,-11.132
204,-11.132,-11.132
205,-11.132,-11.132
206,-11.132,-11.132
207,-11.132,-11.132
208,-11.132,-11.132
209,-11.132,-11.132
210,-11.132,-11.132
211,-11.132,-11.132
212,-11.132,-11.132
213,-11.132,-11.132
214,-11.132,-11.132
215,-11.132,-11.132
216,-11.132,-11.132
217,-11.132,-11.132
218,-11.132,-11.132
219,-11.132,-11.132
220,-11.132,-11.132
221,-11.132,-11.132
222,-11.132,-11.132
223,-11.132,-11.132
224,-11.132,-11.132
225,-11.132,-11.132
226,-11.132,-11.132
227,-11.132,-11.132
228,-11.132,-11.132
229,-11.132,-11.132
230,-11.132,-11.132
231,-11.132,-11.132
232,-11.132,-11.132
233,-11.132,-11.132
234,-11.132,-11.132
235,-11.132,-11.132
236,-11.132,-11.132
237,-11.132,-11.132
238,-11.132,-11.132
239,-11.132,-11.132
240,-11.132,-11.132
241,-11.132,-11.132
242,-11.132,-11.132
243,-11.132,-11.132
244,-11.132,-11.132
245,-11.132,-11.132
246,-11.132,-11.132
247,-11.132,-11.132
248,-11.132,-11.132
249,-11.132,-11.132
250,-11.132,-11.132
251,-11.132,-11.132
252,-11.132,-11.132
253,-11.132,-11.132
254,-11.132,-11.132
255,-11.132,-11.132
256,-11.132,-11.132
257,-11.132,-11.132
258,-11.132,-11.132
259,-11.132,-11.132
260,-11.132,-11.132
261,-11.132,-11.132
262,-11.132,-11.132
263,-11.132,-11.132
264,-11.132,-11.132
265,-11.132,-11.132
266,-11.132,-11.132
267,-11.132,-11.132
268,-11.132,-11.125
269,-11.132,-11.055
270,-11.132,-10.782
271,-11.083,-10.242
272,-10.642,-9.563
273,-9.220,-8.841
274,-7.356,-8.120
275,-6.375,-7.405
276,-6.081,-6.754
277,-6.081,-6.305
278,-6.081,-6.116
279,-6.081,-6.067
